,date,avg_duration
0,2014-02-01,820.28
1,2014-02-02,824.29
2,2014-02-03,797.54
3,2014-02-04,752.54
4,2014-02-05,925.34
5,2014-02-06,1040.82
6,2014-02-07,1048.95
7,2014-02-08,1042.66
8,2014-02-09,1027.33
9,2014-02-10,864.23
10,2014-02-11,987.08
11,2014-02-12,844.89
12,2014-02-13,4866.61
13,2014-02-14,1734.37
14,2014-02-15,1101.03
15,2014-02-16,1280.81
16,2014-02-17,967.1
17,2014-02-18,877.76
18,2014-02-19,849.48
19,2014-02-20,814.39
20,2014-02-21,705.28
21,2014-02-22,988.28
22,2014-02-23,934.89
23,2014-02-24,755.23
24,2014-02-25,686.08
25,2014-02-26,664.36
26,2014-02-27,630.76
27,2014-02-28,665.43
28,2014-02-01,820.28
29,2014-02-02,824.29
30,2014-02-03,797.54
31,2014-02-04,752.54
32,2014-02-05,925.34
33,2014-02-06,1040.82
34,2014-02-07,1048.95
35,2014-02-08,1042.66
36,2014-02-09,1027.33
37,2014-02-10,864.23
38,2014-02-11,987.08
39,2014-02-12,844.89
40,2014-02-13,4866.61
41,2014-02-14,1734.37
42,2014-02-15,1101.03
43,2014-02-16,1280.81
44,2014-02-17,967.1
45,2014-02-18,877.76
46,2014-02-19,849.48
47,2014-02-20,814.39
48,2014-02-21,705.28
49,2014-02-22,988.28
50,2014-02-23,934.89
51,2014-02-24,755.23
52,2014-02-25,686.08
53,2014-02-26,664.36
54,2014-02-27,630.76
55,2014-02-28,665.43
