,date,gender,count
0,2014-02-01,2,2949
1,2014-02-02,2,3386
2,2014-02-03,2,363
3,2014-02-04,2,1550
4,2014-02-05,2,399
5,2014-02-06,2,1146
6,2014-02-07,2,1402
7,2014-02-08,2,1224
8,2014-02-09,2,1075
9,2014-02-10,2,1116
10,2014-02-11,2,1418
11,2014-02-12,2,1459
12,2014-02-13,2,95
13,2014-02-14,2,520
14,2014-02-15,2,427
15,2014-02-16,2,557
16,2014-02-17,2,875
17,2014-02-18,2,769
18,2014-02-19,2,1437
19,2014-02-20,2,2014
20,2014-02-21,2,1436
21,2014-02-22,2,2865
22,2014-02-23,2,3080
23,2014-02-24,2,2301
24,2014-02-25,2,2247
25,2014-02-26,2,1802
26,2014-02-27,2,1983
27,2014-02-28,2,1584
