,date,count
0,2014-02-01,12771
1,2014-02-02,13816
2,2014-02-03,2600
3,2014-02-04,8709
4,2014-02-05,2746
5,2014-02-06,7196
6,2014-02-07,8495
7,2014-02-08,5986
8,2014-02-09,4996
9,2014-02-10,6846
10,2014-02-11,8343
11,2014-02-12,8580
12,2014-02-13,876
13,2014-02-14,3609
14,2014-02-15,2261
15,2014-02-16,3003
16,2014-02-17,4854
17,2014-02-18,5140
18,2014-02-19,8506
19,2014-02-20,11792
20,2014-02-21,8680
21,2014-02-22,13044
22,2014-02-23,13324
23,2014-02-24,12922
24,2014-02-25,12830
25,2014-02-26,11188
26,2014-02-27,12036
27,2014-02-28,9587
28,2014-02-01,12771
29,2014-02-02,13816
30,2014-02-03,2600
31,2014-02-04,8709
32,2014-02-05,2746
33,2014-02-06,7196
34,2014-02-07,8495
35,2014-02-08,5986
36,2014-02-09,4996
37,2014-02-10,6846
38,2014-02-11,8343
39,2014-02-12,8580
40,2014-02-13,876
41,2014-02-14,3609
42,2014-02-15,2261
43,2014-02-16,3003
44,2014-02-17,4854
45,2014-02-18,5140
46,2014-02-19,8506
47,2014-02-20,11792
48,2014-02-21,8680
49,2014-02-22,13044
50,2014-02-23,13324
51,2014-02-24,12922
52,2014-02-25,12830
53,2014-02-26,11188
54,2014-02-27,12036
55,2014-02-28,9587
